reactants,product
Clc1ccc2c(c1)OCO2.CC(C)(N)c1ccccc1.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(C)(Nc1ccc2c(c1)OCO2)c1ccccc1
Brc1ccc2sc3ccccc3c2c1.CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(C)(C)Nc1ccc2sc3ccccc3c2c1
Brc1ccc(-c2nc3ccccc3s2)cc1.CC(C)(C)CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(C)(C)CC(C)(C)Nc1ccc(-c2nc3ccccc3s2)cc1
Brc1cnc2ccccc2c1.CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(C)(C)Nc1cnc2ccccc2c1
CSc1ccc(Br)cc1.NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CSc1ccc(NC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)cc1
Oc1cccc(Cl)c1.CC(C)(C)CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(C)(C)CC(C)(C)Nc1cccc(O)c1
Clc1ccc(N2CCOCC2)cc1.NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],c1cc(N2CCOCC2)ccc1NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3
Cc1ccc(C(=O)O)cc1Br.CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],Cc1ccc(C(=O)O)cc1NC(C)(C)C
Brc1ccnc2ccccc12.CC(C)(N)c1ccccc1.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(C)(Nc1ccnc2ccccc12)c1ccccc1
Clc1cccc2ccoc12.NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],c1cc(NC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)c2occc2c1
